Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0390350155_01   36.396090 -114.482344   808.641      -2.348    -1.239    -2.127    -1.585
0390350157_01   35.519332 -114.676067   178.261       0.036     4.912    -0.727     4.857
0390350158_01   35.306977 -114.590762   173.654      -5.540    -4.116    -4.833    -4.927
0390350159_01   36.209099 -113.859831   909.316      -1.007    -3.774    -0.414    -3.880
0390350160_01   36.297932 -114.724688  1242.356       1.619    -0.028     1.601     0.222
0390350161_01   35.603400 -114.288910  1037.492       1.654    -1.436     1.853    -1.160
0390350164_01   35.467332 -115.270947   900.548       5.656    -5.838     6.484    -4.882
0390350167_01   36.013942 -114.736480   363.894       3.001    -2.711     3.382    -2.213
0390350168_01   36.686533 -113.924035  1335.477       1.524     2.486     1.121     2.687
0390350169_01   36.176101 -114.313306   650.766       2.030     1.033     1.844     1.333
0390350172_01   36.727367 -113.862936  1656.090       3.875     1.772     3.548     2.343
0390350173_01   35.787095 -115.328479   854.054      -3.472     0.276    -3.467    -0.264
0390350174_01   35.456764 -114.907281  1024.911       0.403    -2.168     0.734    -2.076
0390350175_01   36.432279 -114.223552   588.345      -4.227    -0.177    -4.147    -0.826
0390350176_01   35.560534 -114.391285   825.765      -2.963    -2.296    -2.569    -2.725
0390350179_01   35.483207 -114.667811   170.285      -2.507    -2.066    -2.156    -2.430
0390350183_01   35.723726 -114.804473   916.390      -0.357    -0.930    -0.209    -0.973
0390350184_01   35.464486 -114.342060   914.455      -1.682    -3.767    -1.077    -3.977
0390350187_01   36.516138 -114.626208   791.621       0.834    -0.459     0.894    -0.325
0390350188_01   36.433217 -114.473457   616.300       4.140    -1.773     4.359    -1.113
0390350191_01   35.264048 -114.594006   188.142       0.676    -0.028     0.672     0.078
0390350192_01   35.766522 -114.720666   287.995       1.292     1.324     1.071     1.507
